               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1169,            0.063938,            0.061127,          0.00057197,           0.0039904,          0.00029342,          7.0457e-05,             0.11122,             0.10559,            0.059625,            0.070037,           0.0033292,           0.0033292
                   1,             0.10735,            0.067859,            0.049709,             0.81677,            0.018921,            0.038141,           0.0087166,            0.095051,             0.08517,            0.046454,            0.039905,           0.0065306,           0.0065306
                   2,            0.093885,            0.062775,             0.04396,            0.031304,            0.089803,            0.036212,            0.012307,            0.083698,             0.08778,            0.044325,           0.0096412,              0.0096,              0.0096
                   3,            0.085483,            0.061319,            0.040652,             0.45649,             0.13241,             0.06388,            0.022147,            0.078081,            0.081515,            0.039096,            0.009406,            0.009406,            0.009406
                   4,             0.08008,            0.059598,            0.037877,             0.27012,             0.15415,            0.079635,            0.032031,            0.073574,             0.07926,            0.038105,            0.009406,            0.009406,            0.009406
                   5,            0.076526,            0.058696,             0.03632,             0.32972,             0.16652,            0.096358,            0.041633,            0.070279,            0.077925,            0.035907,            0.009208,            0.009208,            0.009208
                   6,            0.074186,            0.056995,            0.034919,             0.36487,             0.18074,             0.11616,            0.050912,            0.068275,            0.076883,             0.03498,             0.00901,             0.00901,             0.00901
                   7,            0.072508,            0.056889,            0.034028,             0.34972,             0.18909,             0.12419,             0.05579,            0.067095,            0.075756,             0.03379,            0.008812,            0.008812,            0.008812
                   8,            0.070874,            0.056132,            0.033472,             0.46789,             0.19007,             0.13603,            0.062726,            0.066086,            0.075682,             0.03314,            0.008614,            0.008614,            0.008614
                   9,            0.070024,            0.055776,            0.032564,             0.46496,             0.19315,             0.14223,            0.067329,            0.064532,            0.074977,             0.03352,            0.008416,            0.008416,            0.008416
                  10,            0.068711,            0.054852,            0.031636,             0.48451,             0.19407,             0.15343,             0.07345,            0.063627,            0.074704,            0.031882,            0.008218,            0.008218,            0.008218
                  11,            0.067684,            0.054425,            0.031095,             0.51783,             0.19291,             0.16543,            0.078429,            0.062877,            0.073827,            0.031385,             0.00802,             0.00802,             0.00802
                  12,            0.067264,            0.054308,            0.030713,             0.49314,             0.19676,             0.15703,            0.073841,            0.062461,            0.073125,            0.031534,            0.007822,            0.007822,            0.007822
                  13,            0.066634,            0.054387,            0.030235,             0.43094,             0.19406,              0.1798,            0.087272,            0.061404,            0.072458,            0.030295,            0.007624,            0.007624,            0.007624
                  14,            0.065803,            0.053442,             0.02955,             0.54299,             0.20578,             0.18836,            0.092526,            0.061042,            0.072019,            0.030368,            0.007426,            0.007426,            0.007426
                  15,            0.065476,            0.053924,            0.029397,             0.45256,             0.20552,             0.19643,            0.096377,            0.060552,            0.072168,            0.029658,            0.007228,            0.007228,            0.007228
                  16,            0.064749,            0.053117,            0.028917,             0.49393,             0.21496,             0.20259,             0.10159,            0.060037,            0.071664,            0.029143,             0.00703,             0.00703,             0.00703
                  17,            0.064239,            0.052457,            0.028477,             0.48761,             0.21092,             0.20852,             0.10219,            0.059469,            0.071458,             0.02869,            0.006832,            0.006832,            0.006832
                  18,            0.064074,             0.05289,            0.028208,             0.50208,             0.22275,             0.21394,             0.10644,             0.05913,            0.070703,            0.028682,            0.006634,            0.006634,            0.006634
                  19,            0.063425,            0.052993,            0.027726,              0.4932,             0.22522,             0.21787,             0.10899,            0.058866,            0.071058,            0.028505,            0.006436,            0.006436,            0.006436
                  20,            0.063113,             0.05227,            0.027561,             0.57324,             0.22745,             0.22484,             0.11211,            0.058721,            0.070909,            0.028192,            0.006238,            0.006238,            0.006238
                  21,            0.062677,            0.051984,            0.027251,             0.43717,               0.228,             0.22943,               0.113,            0.058281,            0.070282,             0.02789,             0.00604,             0.00604,             0.00604
                  22,            0.062283,            0.051748,            0.026936,             0.41234,             0.23683,             0.23883,             0.11909,            0.057833,            0.069832,            0.027639,            0.005842,            0.005842,            0.005842
                  23,            0.061906,            0.051337,            0.026814,             0.52756,             0.24303,             0.24189,             0.12215,             0.05769,            0.069767,            0.027727,            0.005644,            0.005644,            0.005644
                  24,            0.061671,            0.051696,            0.026558,             0.33343,             0.24976,             0.24397,             0.12489,            0.057354,             0.06974,            0.027269,            0.005446,            0.005446,            0.005446
                  25,            0.061318,            0.051403,            0.026217,             0.34739,             0.24589,             0.24431,             0.12492,            0.057181,            0.069384,            0.027563,            0.005248,            0.005248,            0.005248
                  26,            0.060905,            0.051579,            0.025909,             0.33637,             0.25438,             0.25056,              0.1268,            0.056857,            0.069074,            0.026978,             0.00505,             0.00505,             0.00505
                  27,            0.060745,            0.050372,            0.025613,              0.3293,              0.2556,              0.2517,             0.13053,            0.056756,            0.068881,            0.026997,            0.004852,            0.004852,            0.004852
                  28,            0.060514,            0.050925,            0.025488,             0.35283,             0.25277,              0.2569,             0.13345,            0.056513,            0.068912,            0.026711,            0.004654,            0.004654,            0.004654
                  29,            0.060145,             0.05086,            0.025441,             0.44565,             0.26171,             0.26221,             0.13579,            0.056174,            0.068613,            0.026588,            0.004456,            0.004456,            0.004456
                  30,            0.060064,            0.050532,            0.025193,             0.33852,             0.26674,             0.26445,             0.13589,            0.056044,            0.068331,              0.0264,            0.004258,            0.004258,            0.004258
                  31,            0.059612,            0.050382,            0.024888,             0.34394,             0.26649,             0.26956,             0.14044,            0.055906,            0.068613,            0.026371,             0.00406,             0.00406,             0.00406
                  32,            0.059586,            0.050503,            0.024845,             0.36914,             0.26359,             0.26868,             0.13915,            0.055789,            0.068358,            0.026146,            0.003862,            0.003862,            0.003862
                  33,            0.059301,            0.049875,            0.024724,             0.36347,             0.27779,             0.27216,             0.14159,            0.055496,            0.068169,            0.026154,            0.003664,            0.003664,            0.003664
                  34,            0.059068,            0.050321,            0.024684,             0.34875,             0.28035,             0.27453,             0.14395,            0.055457,            0.068039,             0.02614,            0.003466,            0.003466,            0.003466
                  35,            0.058886,            0.049951,            0.024423,             0.36083,             0.27446,             0.27405,             0.14372,            0.055333,              0.0679,            0.026284,            0.003268,            0.003268,            0.003268
                  36,            0.058954,            0.049756,            0.024112,             0.35254,             0.28204,             0.27697,             0.14421,            0.055192,            0.067672,            0.025976,             0.00307,             0.00307,             0.00307
                  37,            0.058473,            0.050219,            0.024209,             0.35467,             0.28172,             0.28091,             0.14739,            0.055004,            0.067696,            0.025968,            0.002872,            0.002872,            0.002872
                  38,            0.058311,            0.049366,             0.02389,             0.35588,             0.28749,             0.28105,             0.14668,            0.054929,             0.06745,            0.025831,            0.002674,            0.002674,            0.002674
                  39,            0.058015,            0.049347,            0.024028,               0.387,             0.28435,             0.28563,             0.14978,            0.054907,            0.067537,            0.025746,            0.002476,            0.002476,            0.002476
                  40,             0.05808,            0.049535,             0.02374,             0.35638,             0.29169,             0.28615,              0.1502,            0.054788,            0.067433,            0.025689,            0.002278,            0.002278,            0.002278
                  41,            0.057694,            0.048682,            0.023738,             0.36317,             0.29276,             0.29031,             0.15243,            0.054666,            0.067256,            0.025584,             0.00208,             0.00208,             0.00208
                  42,            0.057865,            0.050138,            0.023461,             0.37001,             0.29269,              0.2906,             0.15379,            0.054492,            0.067246,            0.025452,            0.001882,            0.001882,            0.001882
                  43,            0.057764,            0.048278,            0.023271,             0.37301,             0.29669,             0.29244,             0.15331,            0.054401,            0.067193,             0.02545,            0.001684,            0.001684,            0.001684
                  44,            0.057652,            0.048896,            0.023377,             0.36931,             0.30099,             0.29327,             0.15453,            0.054358,            0.067061,            0.025264,            0.001486,            0.001486,            0.001486
                  45,            0.057177,            0.049216,            0.023235,             0.36789,             0.29993,             0.29404,             0.15545,            0.054276,            0.067003,             0.02532,            0.001288,            0.001288,            0.001288
                  46,            0.057631,             0.04887,            0.023118,             0.37988,             0.29981,              0.2954,             0.15704,             0.05424,             0.06689,            0.025178,             0.00109,             0.00109,             0.00109
                  47,            0.057026,            0.048991,            0.023015,             0.38291,             0.29705,             0.29465,             0.15666,            0.054178,              0.0669,            0.025351,            0.000892,            0.000892,            0.000892
                  48,            0.056821,            0.048707,            0.022924,             0.38097,             0.30168,             0.29727,             0.15701,            0.054143,            0.066858,            0.025231,            0.000694,            0.000694,            0.000694
                  49,             0.05668,            0.047734,            0.022904,             0.37098,             0.30698,             0.29764,             0.15696,            0.054123,            0.066923,            0.025116,            0.000496,            0.000496,            0.000496
